Barcode,Batch,Equipment,Ingested,Call Number,Title,Author,Imprint,BibId
30112046800048,DS_2021_03_15,,FALSE,636.7089 Ac57g,The genetic connection : a guide to health problems in purebred dogs /,"Ackerman, Lowell J.","Lakewood, Co. : AAHA Press, c1999.",99422291512205899
30112015793141,DS_2021_03_15,Epson Flatbed,TRUE,M1627 C641990,"The Collected reprints from Sing out! The folk song magazine : Volumes 1-6, 1959-1964.",,"Bethlehem, PA : Sing Out Corp, c1990.",99359431312205899
30112123449578,LO_2021_03_25,,FALSE,PC3942.412.A553 P47 2018,Permagel /,"Baltasar, Eva,","Barcelona : Club Editor, [2018]",99882789812205899
30112086247134,LO_2021_03_16,,FALSE,320.968 R531,The road to democracy in South Africa.,South African Democracy Education Trust.,"Cape Town : Zebra Press, 2004-<c2010>",99494800512205899
30112069395694,LO_2021_03_16,,FALSE,320.968 R531,The road to democracy in South Africa.,South African Democracy Education Trust.,"Cape Town : Zebra Press, 2004-<c2010>",99494800512205899
30112002482922,LO_2021_03_16,,FALSE,016.97731104 G487H,The Haymarket Affair : an annotated bibliography /,"Glenn, Robert W.,","Westport, Conn. : Greenwood Press, 1993.",99350166412205899
30112064648337,LO_2021_03_16,,FALSE,070.9226 M926B,Banana Sunday : datelines from Africa /,"Munnion, Christopher","Rivonia : William Waterman Pub, 1993.",99369193412205899
30112120565285,LO_2021_03_16,,FALSE,BJ1411 .B36 2016,Moral disengagement : how people do harm and live with themselves /,"Bandura, Albert,","New York : Worth Publishers, Macmillan Learning, [2016]",99812967412205899
30112110440481,LO_2021_03_16,,FALSE,Q. 745.2 Ei88s,Sketching : the basics /,"Eissen, Koos,","Amsterdam : BIS, ©2011.",99718445612205899
30112059758455,LO_2021_03_16,,FALSE,ML3809 C46D5,The discovery of musical equal temperament in China and Europe in the sixteenth century /,"Cho, Gene J.","Lewiston, N.Y. : E Mellen Press, ©2003.",99455822012205899
30112010325584,LO_2021_03_16,,FALSE,793.8 G175F,"Fractal music, hypercards and more-- : mathematical recreations from Scientific American magazine /","Gardner, Martin,","New York : WH Freeman, c1992.",99346339612205899
30112010288022,LO_2021_03_16,,FALSE,335.8 D28H1963,The history of the Haymarket affair : a study of the American social-revolutionary and labor movements /,"David, Henry,","New York : Collier Books, 1963.",99108120712205899
30112049931550,LO_2021_03_16,,FALSE,781.649094971 D729m,"Mala crna muzika : hip-hop nacija, nacionalna istorija, država i njeni neprijatelji /","Đorđević, Dragan,","Loznica : Karpos, 2016.",99863898212205899
30112029289805,LO_2021_03_16,,FALSE,BL1130 .T491963,"Śrīmadbhagavadgītārahasya athavā karmayogaśāstra; gītecẽ bahiraṅgaparīkshaṇa, mūḷa Saṃskr̥ta śloka, Marāṭhī bhāshāntara, arthanirṇāyaka ṭīpā, paurvātya va pāścimātya matāñcī tulanā varaisaha.","Tilak, Bal Gangadhar,","Puṇẽ, Ja Śrī Ṭiḷaka, 1963.",99438496712205899
30112084897690,LO_2021_03_16,,FALSE,ML1039 J64E5,England's child : the carillon and the casting of big bells /,"Johnston, Jill.",San Francisco : Cadmus Editions 2008.,99557777612205899
